"Player","#","Nation","Pos","Min","Gls","Ast","xG","xG-PK","xA","Sh","SoT","Fls","Fld","Crs","Tkl","Int","CrdY","CrdR","GA","Saves","Save%","Team","Time"
"Divock Origi",27,"BEL","FW,MF",74,1,0,0.2,0.2,0,1,1,0,2,4,3,1,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Sadio Man¨¦",10,"SEN","FW,MF",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Roberto Firmino",9,"BRA","FW,MF",86,0,1,0.8,0.8,0.4,4,1,0,1,0,1,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"James Milner",7,"ENG","MF",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Mohamed Salah",11,"EGY","FW,MF",90,1,1,0.4,0.4,0.2,2,1,1,1,7,0,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Georginio Wijnaldum",5,"NED","MF",90,0,0,0,0,0,0,0,2,2,0,0,1,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Fabinho",3,"BRA","DF",90,0,0,0,0,0,1,1,1,1,0,5,2,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Jordan Henderson",14,"ENG","MF",90,0,0,0.2,0.2,0,2,1,2,2,4,1,2,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Andrew Robertson",26,"SCO","DF",90,0,0,0,0,0,2,0,0,0,9,0,1,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Virgil van Dijk",4,"NED","DF",90,1,0,0,0,0,1,1,0,0,0,1,5,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Joe Gomez",12,"ENG","DF",90,0,0,0,0,0,0,0,2,0,0,1,0,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Trent Alexander-Arnold",66,"ENG","DF,MF",90,0,1,0.2,0.2,0.9,2,1,1,0,8,1,2,0,0,NA,NA,NA,"Liverpool","Friday August 9, 2019"
"Alisson",1,"BRA","GK",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,"Liverpool","Friday August 9, 2019"
"Adri¨¢n",13,"ESP","GK",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,66.7,"Liverpool","Friday August 9, 2019"
"Teemu Pukki",22,"FIN","FW",83,1,0,0.5,0.5,0.2,3,1,0,1,0,1,1,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Josip Drmi<U+0107>",20,"SUI","FW",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Todd Cantwell",14,"ENG","",90,0,0,0,0,0.1,0,0,0,3,0,1,0,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Marco Stiepermann",18,"GER","FW,MF",58,0,0,0.3,0.3,0,3,1,0,1,0,0,0,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Moritz Leitner",10,"GER","MF",32,0,0,0,0,0.1,1,0,2,1,0,0,1,1,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Emiliano Buend¨ªa",17,"ARG","FW",90,0,1,0.1,0.1,0.5,2,2,1,1,1,0,1,1,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Tom Trybull",19,"GER","DF,MF",70,0,0,0,0,0,1,0,3,1,0,1,1,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Onel Hern¨¢ndez",11,"CUB","FW",20,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Kenny McLean",23,"SCO","MF",90,0,0,0,0,0,0,0,1,1,0,1,1,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Jamal Lewis",12,"NIR","",90,0,0,0,0,0.1,0,0,0,0,1,1,0,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Ben Godfrey",4,"ENG","MF",90,0,0,0,0,0,1,1,0,0,0,0,4,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Grant Hanley",5,"SCO","DF",90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Max Aarons",2,"ENG","MF",90,0,0,0,0,0,0,0,1,0,0,3,1,0,0,NA,NA,NA,"Norwich City","Friday August 9, 2019"
"Tim Krul",1,"NED","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,50,"Norwich City","Friday August 9, 2019"
"S¨¦bastien Haller",22,"FRA","FW",90,0,0,0,0,0,1,1,0,0,0,3,2,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Michail Antonio",30,"ENG","FW,MF",45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Pablo Fornals",18,"ESP","MF",45,0,0,0,0,0.5,0,0,0,2,1,2,0,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Manuel Lanzini",10,"ARG","MF",90,0,0,0.1,0.1,0,1,1,0,1,1,1,0,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Felipe Anderson",8,"BRA","FW,MF",66,0,0,0,0,0,0,0,1,1,2,0,0,1,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Javier Hern¨¢ndez",9,"MEX","FW",24,0,0,0.5,0.5,0,2,1,0,0,0,0,0,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Declan Rice",41,"ENG","DF",90,0,0,0,0,0,0,0,0,1,0,2,2,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Jack Wilshere",19,"ENG","MF",56,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Robert Snodgrass",11,"SCO","FW,MF",34,0,0,0,0,0.1,0,0,1,1,3,0,0,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Aaron Cresswell",3,"ENG","DF",90,0,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Issa Diop",23,"FRA","DF",90,0,0,0.1,0.1,0,1,0,1,1,0,0,2,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Fabi¨¢n Balbuena",4,"PAR","DF",90,0,0,0,0,0,0,0,2,0,0,0,0,1,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"Ryan Fredericks",24,"ENG","DF",90,0,0,0,0,0,0,0,1,2,3,1,1,0,0,NA,NA,NA,"West Ham United","Saturday August 10, 2019"
"<U+0141>ukasz Fabia¨½ski",1,"POL","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,44.4,"West Ham United","Saturday August 10, 2019"
"Raheem Sterling",7,"ENG","FW,MF",90,3,0,1.4,1.4,0,4,4,3,2,0,1,1,1,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Gabriel Jesus",9,"BRA","FW",69,1,0,0.5,0.5,0,2,2,3,2,0,0,0,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Sergio Ag¨¹ero",10,"ARG","FW",21,1,0,0.8,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Riyad Mahrez",26,"ALG","FW,MF",90,0,2,0.2,0.2,1,3,1,1,1,0,3,2,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"David Silva",21,"ESP","MF",80,0,0,0.5,0.5,0.1,1,0,1,0,1,1,0,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Phil Foden",47,"ENG","MF",10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Rodri",16,"ESP","MF",90,0,0,0,0,0,0,0,3,0,0,2,0,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Kevin De Bruyne",17,"BEL","MF",79,0,1,0,0,1,1,1,1,0,2,4,2,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"<U+0130>lkay G¨¹ndo<U+011F>an",8,"GER","MF",11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Oleksandr Zinchenko",11,"UKR","MF",90,0,0,0.1,0.1,0.1,1,0,0,0,3,1,0,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Aymeric Laporte",14,"FRA","DF",90,0,0,0,0,0,0,0,0,1,0,0,4,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"John Stones",5,"ENG","DF",90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Kyle Walker",2,"ENG","DF",90,0,1,0,0,0,1,0,1,0,0,0,1,1,0,NA,NA,NA,"Manchester City","Saturday August 10, 2019"
"Ederson",31,"BRA","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,"Manchester City","Saturday August 10, 2019"
"Ashley Barnes",10,"AUT","FW",84,2,0,0.6,0.6,0,4,3,1,1,0,0,0,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Jay Rodriguez",19,"ENG","FW",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Chris Wood",9,"NZL","FW",90,0,0,0,0,0,1,0,1,1,2,0,0,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Dwight McNeil",11,"ENG","MF",84,0,0,0,0,0,0,0,0,1,3,3,1,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Aaron Lennon",25,"ENG","FW,MF",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Ashley Westwood",18,"ENG","MF",90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Jack Cork",4,"ENG","DF,MF",90,0,0,0,0,0,0,0,1,0,0,1,1,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"J¨®hann Berg Guemundsson",7,"ISL","FW,MF",90,1,0,0.1,0.1,0,2,1,1,1,3,0,2,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Erik Pieters",23,"NED","DF",90,0,2,0,0,0.4,1,0,0,1,2,3,2,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Ben Mee",6,"ENG","DF",90,0,0,0,0,0,0,0,0,1,0,2,3,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"James Tarkowski",5,"ENG","DF",90,0,0,0,0,0,2,0,1,3,0,1,2,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Matthew Lowton",2,"ENG","DF",90,0,0,0,0,0,0,0,1,1,3,0,2,0,0,NA,NA,NA,"Burnley","Saturday August 10, 2019"
"Nick Pope",1,"ENG","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,"Burnley","Saturday August 10, 2019"
"Che Adams",10,"ENG","FW",73,0,0,0.3,0.3,0,2,0,4,0,0,0,0,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Sofiane Boufal",19,"MAR","MF",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Nathan Redmond",22,"ENG","MF",90,0,0,0.1,0.1,0,2,1,2,2,0,0,0,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Danny Ings",9,"ENG","FW",66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Michael Obafemi",20,"IRL","FW",24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Ryan Bertrand",21,"ENG","DF,MF",90,0,0,0.2,0.2,0,1,0,1,1,3,1,1,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"James Ward-Prowse",16,"ENG","MF",90,0,0,0.1,0.1,0,2,1,0,1,4,1,1,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Oriol Romeu",14,"ESP","MF",90,0,0,0.1,0.1,0,2,0,2,1,0,1,2,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Yann Valery",43,"FRA","DF",90,0,0,0,0,0.3,0,0,1,0,3,0,0,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Jannik Vestergaard",4,"DEN","DF",90,0,0,0.1,0.1,0,1,1,0,0,0,2,1,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Jack Stephens",5,"ENG","DF",73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Pierre H<U+00F8>jbjerg",23,"DEN","MF",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Jan Bednarek",35,"POL","DF",90,0,0,0,0,0.1,1,0,1,1,0,0,3,0,0,NA,NA,NA,"Southampton","Saturday August 10, 2019"
"Angus Gunn",28,"ENG","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,25,"Southampton","Saturday August 10, 2019"
"Callum Wilson",13,"ENG","FW",90,0,0,0.5,0.5,0,1,1,2,1,1,0,0,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Dominic Solanke",9,"ENG","FW",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Ryan Fraser",24,"SCO","MF",90,0,0,0.1,0.1,0,1,0,1,4,7,0,0,1,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Joshua King",7,"NOR","FW",90,0,0,0.1,0.1,0,1,0,1,1,0,0,0,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Diego Rico",21,"ESP","DF",90,0,0,0,0,0,1,0,0,0,4,3,3,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Jefferson Lerma",8,"COL","MF",90,0,0,0.1,0.1,0,2,0,0,3,0,2,0,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Philip Billing",29,"DEN","MF",90,0,0,0,0,0.3,2,1,2,0,0,4,4,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Adam Smith",15,"ENG","DF",90,0,0,0,0,0,0,0,1,2,2,0,0,1,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Nathan Ak¨¦",5,"NED","DF,MF",90,0,0,0.2,0.2,0,2,0,1,0,0,3,2,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Steve Cook",3,"ENG","DF,MF",90,0,0,0.1,0.1,0,1,0,0,1,0,0,2,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Chris Mepham",33,"WAL","",90,1,0,0.4,0.4,0,2,1,2,3,0,1,1,0,0,NA,NA,NA,"Bournemouth","Saturday August 10, 2019"
"Aaron Ramsdale",12,"ENG","GK",90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,66.7,"Bournemouth","Saturday August 10, 2019"
"David McGoldrick",17,"IRL","FW",63,0,0,0.3,0.3,0,2,1,3,3,0,1,0,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Oliver McBurnie",9,"SCO","FW",27,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Callum Robinson",11,"IRL","FW",90,0,0,0.1,0.1,0,2,1,4,0,0,1,2,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Enda Stevens",3,"IRL","DF",90,0,0,0,0,0,0,0,4,0,1,2,0,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"John Fleck",4,"SCO","FW,MF",90,0,0,0,0,0.1,0,0,2,0,4,1,0,1,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Oliver Norwood",16,"NIR","MF",90,0,0,0,0,0.1,0,0,2,1,7,1,4,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"John Lundstram",7,"ENG","MF",78,0,0,0,0,0.3,1,0,0,0,3,1,1,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Luke Freeman",8,"ENG","FW,MF",12,0,0,0,0,0,0,0,0,1,2,0,0,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"George Baldock",2,"ENG","DF,MF",90,0,0,0,0,0.2,1,0,1,0,1,0,1,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Jack O'Connell",5,"ENG","DF",90,0,0,0,0,0,0,0,0,2,0,1,2,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"John Egan",12,"IRL","DF",90,0,0,0,0,0,0,0,1,1,0,2,3,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Chris Basham",6,"ENG","DF,MF",82,0,0,0,0,0,0,0,1,1,0,1,2,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Billy Sharp",10,"ENG","FW",8,1,0,0.4,0.4,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,"Sheffield United","Saturday August 10, 2019"
"Dean Henderson",1,"ENG","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,66.7,"Sheffield United","Saturday August 10, 2019"
"Troy Deeney",9,"ENG","FW",90,0,0,0,0,0.2,1,1,2,1,0,1,0,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Andre Gray",18,"ENG","FW",75,0,0,0.3,0.3,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Isaac Success",22,"NGA","FW",15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Gerard Deulofeu",7,"ESP","FW,MF",45,0,0,0,0,0,1,0,1,0,1,0,0,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Roberto Pereyra",37,"ARG","MF",45,0,0,0.3,0.3,0,3,0,0,1,0,0,0,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Will Hughes",19,"ENG","MF",90,0,0,0.1,0.1,0,1,0,3,3,2,0,4,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"¨¦tienne Capoue",29,"FRA","MF",90,0,0,0,0,0,1,0,1,3,0,0,3,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Abdoulaye Doucour¨¦",16,"FRA","MF",90,0,0,0,0,0.1,0,0,1,2,0,0,1,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Jos¨¦ Holebas",25,"GRE","DF,MF",90,0,0,0,0,0,0,0,4,0,6,1,0,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Craig Cathcart",15,"NIR","DF",90,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Craig Dawson",4,"ENG","DF",90,0,0,0.2,0.2,0,2,1,1,0,0,1,3,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Kiko Femen¨ªa",21,"ESP","FW,MF",90,0,0,0,0,0.4,1,0,0,0,4,1,1,0,0,NA,NA,NA,"Watford","Saturday August 10, 2019"
"Ben Foster",26,"ENG","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,25,"Watford","Saturday August 10, 2019"
"Glenn Murray",17,"ENG","FW",64,0,0,0,0,0,0,0,2,2,0,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Neal Maupay",7,"FRA","FW,MF",26,1,0,0.5,0.5,0,1,1,0,1,0,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"J¨¹rgen Locadia",9,"NED","FW",64,0,0,0.1,0.1,0,1,1,0,1,1,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Florin Andone",10,"ROU","FW",26,1,0,0.1,0.1,0,1,1,0,0,0,1,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Dale Stephens",6,"ENG","MF",90,0,0,0,0,0,0,0,3,2,0,3,1,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Davy Pr<U+00F6>pper",24,"NED","MF",90,0,1,0,0,0.1,1,0,0,0,2,1,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Pascal Gro<U+00DF>",13,"GER","MF",90,0,0,0,0,0,0,0,1,2,5,1,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Solly March",20,"ENG","MF",90,0,0,0,0,0,0,0,0,0,2,1,3,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Bernardo",30,"BRA","DF",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Dan Burn",33,"ENG","DF",90,0,0,0,0,0,1,0,1,0,0,1,1,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Lewis Dunk",5,"ENG","DF",90,0,1,0,0,0.5,0,0,2,2,0,2,2,1,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Shane Duffy",4,"IRL","DF,MF",90,0,0,0,0,0,0,0,2,2,0,2,2,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Mart¨ªn Montoya",22,"ESP","DF",90,0,0,0,0,0.1,0,0,0,2,2,2,1,0,0,NA,NA,NA,"Brighton & Hove Albion","Saturday August 10, 2019"
"Mathew Ryan",1,"AUS","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,"Brighton & Hove Albion","Saturday August 10, 2019"
"Jordan Ayew",9,"GHA","FW",65,0,0,0.3,0.3,0.1,1,1,0,5,0,1,1,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Wilfried Zaha",11,"CIV","FW,MF",25,0,0,0.1,0.1,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Christian Benteke",17,"BEL","FW",83,0,0,0,0,0.3,0,0,2,0,0,2,1,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Connor Wickham",21,"ENG","FW,MF",7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Max Meyer",7,"GER","FW,MF",90,0,0,0.3,0.3,0,3,1,1,0,3,2,2,1,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Luka Milivojevi<U+0107>",4,"SRB","MF",90,0,0,0,0,0.2,0,0,7,1,3,1,1,1,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"James McArthur",18,"SCO","MF",90,0,0,0,0,0,0,0,4,0,0,4,3,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Andros Townsend",10,"ENG","FW,MF",90,0,0,0,0,0.2,0,0,1,2,6,3,0,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Patrick van Aanholt",3,"NED","DF",90,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Scott Dann",6,"ENG","DF",90,0,0,0.1,0.1,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Martin Kelly",34,"ENG","DF,MF",90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Joel Ward",2,"ENG","DF,MF",90,0,0,0,0,0,0,0,0,2,0,1,2,0,0,NA,NA,NA,"Crystal Palace","Saturday August 10, 2019"
"Vicente Guaita",31,"ESP","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,"Crystal Palace","Saturday August 10, 2019"
"Dominic Calvert-Lewin",9,"ENG","MF",69,0,0,0.1,0.1,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Moise Kean",27,"ITA","FW",21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Bernard",20,"BRA","FW,MF",90,0,0,0,0,0.1,0,0,2,0,1,0,0,1,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Gylfi Siguresson",10,"ISL","MF",79,0,0,0.4,0.4,0,4,2,1,1,1,0,0,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Tom Davies",26,"ENG","MF",11,0,0,0,0,0,0,0,1,2,0,0,0,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Richarlison",7,"BRA","FW",90,0,0,0.1,0.1,0,3,0,2,4,3,3,1,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Andr¨¦ Gomes",21,"POR","MF",45,0,0,0,0,0.1,0,0,0,3,0,0,0,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Jean-Philippe Gbamin",25,"CIV","DF",45,0,0,0,0,0,0,0,0,1,0,1,0,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Morgan Schneiderlin",18,"FRA","MF",75,0,0,0,0,0,0,0,4,0,0,0,2,2,1,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Lucas Digne",12,"FRA","DF",90,0,0,0,0,0.2,1,0,1,0,6,0,0,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Yerry Mina",13,"COL","DF",90,0,0,0,0,0,0,0,1,1,0,2,3,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Michael Keane",5,"ENG","DF",90,0,0,0,0,0,0,0,1,1,0,1,4,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"S¨¦amus Coleman",23,"IRL","DF,MF",90,0,0,0.2,0.2,0,1,1,1,1,6,0,4,0,0,NA,NA,NA,"Everton","Saturday August 10, 2019"
"Jordan Pickford",1,"ENG","GK",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,"Everton","Saturday August 10, 2019"
"Harry Kane",10,"ENG","FW",90,2,0,0.9,0.9,0.1,8,2,3,0,3,1,0,0,0,NA,NA,NA,"Tottenham Hotspur","Saturday August 10, 2019"
"Lucas Moura",27,"BRA","FW,MF",90,0,1,0.3,0.3,0.1,3,1,0,0,1,0,0,0,0,NA,NA,NA,"Tottenham Hotspur","Saturday August 10, 2019"
"¨¦rik Lamela",11,"ARG","FW,MF",88,0,0,0.2,0.2,0.1,4,1,0,1,10,3,0,1,0,NA,NA,NA,"Tottenham Hotspur","Saturday August 10, 2019"
"Georges-K¨¦vin N'Koudou",14,"FRA","MF",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,"Tottenham Hotspur","Saturday August 10, 2019"
"Moussa Sissoko",17,"FRA","MF",90,0,1,0.4,0.4,0.1,4,0,3,2,5,0,0,0,0,NA,NA,NA,"Tottenham Hotspur","Saturday August 10, 2019"
"Harry Winks",8,"ENG","MF",64,0,0,0,0,0,1,0,0,1,0,1,0,0,0,NA,NA,NA,"Tottenham Hotspur","Saturday August 10, 2019"
"Christian Eriksen",23,"DEN","DF,MF",26,0,0,0.3,0.3,0.3,3,1,0,0,8,0,1,0,0,NA,NA,NA,"Tottenham Hotspur","Saturday August 10, 2019"
